reponse,label
rester maison aller chercher amie vacance long vouloir voyager coucher jouer téléphone faire repas,1
voyager semaine fatigant aimer peinture natation tennis pouvoir constamment penser améliorer faire chose,1
concerner vacance idéal voyager goal sortir découvrir vraiment envie chill aimer randonnée aimer confort vraiment envie entourer rentrer chose aimer flemm voir ami devenir aigri saouler bout semaine maximum bouger aller obligatoire échec jeu stratégie social survivor the genius big brother internet aspect stratégique créer alliance adapter meilleur jeu aller loin vraiment passion moment vraiment prendre mentalement jouer 2 3 4 mois saison chose faire régulièrement essayer lire émotion intention super intéressant joue piano apprendre crochet côté celer aimer jeu vidéo visual novel maquillage permettre améliorer créativité adorer,1
vacance aimer peindre maison retrouver ami aller vide grenier aller ami dîner discuter vacance long pouvoir prévoir voyage lointain agréable ami activité préférer lecture exercice penser lecture permettre esprit faire exercice exercice permettre corps rester condition soir aller coucher prendre livre électronique lire temps livre économique roman agir livre science technologie pouvoir endormir temps besoin mélatonine exercice physique aide également passer nuit sommeil réveiller lendemain énergie,1
aller pays grand histoire visiter ruine monument découvrir culture profiter soleil plage sûr aide déconnecter quotidien vraiment relaxer passe temps aimer lire écrire jouer jeu vidéo faire shopping cuisiner liste long intéresser trouver dommage cantonner domaine curieux nature aimer découvrir chose pouvoir servir quotidien meilleur,1
play computer games such ns ps5 with family member or friends date with friends sorry can write in french chat with friends or family member,1
aimer vacance liberté absolu tâche supplémentaire besoin penser avenir pression travailler étudier aimer vacance épanouissant participe type activité chant danse sport ami shopping voyage chanter danser cuisinier voyager regarder film programme diversité dormir passe temps préférer raison explicite passe temps détendre,1
préférer jour week end prendre vacance hiver déjà aimer voyage aimer plan voyage fatiguant intéressant besoin long vacance faire voyage pouvoir plan long vacance gaspillage temps aller passer faire jouer smartphone lit canapé valoir mieux jour week end court savoir chérir temps pouvoir faire plan mettre oeuvre motiver faire nettoyage sport étudier jouer mahjong nager lire roman internet aimer jouer volley étranger loin ami équipe tendance faire chose pouvoir faire aimer jouer volley sortir ami,1
préférer possibilité passer temps famille ami jouer jeu société discuter faire barbecue vouloir voyager bord mer accumuler solei passer temps hotel fênetre panaromique donner sapin enneigé préférer activité calme chaleureux lecture thé café côté visité musée théâtre actif énergivore jogging badminton voleyball jeu petit soeur petit neveu faire sport jogging jouer volleyball badminton apprendre langue étranger grand fan celer lire livre regarder film visiter musée théâtre regarder vidéo humoristique faire blague écouter musique ami famille coudre vêtement ensiegner français,1
baigner spring adorer eau vue paysage,1
découverte lieu histoire lieu rencontre local flemme aller plage bleu vouloir imprégner espace découverte spécialement aimer rester passer extérieur convier sortir ami aller cinéma manger aimer entourer passer temps favori,1
dépendre année quantité travail fan grand voyage déranger quitter pays aimer ami petit location groupe 5 6 ami savoir respecter limite mo environnement parfait idéalement plage fan activité culturel visiter musée monument groupe genre chose préférer faire vacance groupe tendre avantage chill plage aimer faire faire 3 instrument dessiner lire uniquement instruire lire philo pratiquer sport prendre plaisir faire chose occasion vanter mdr,1
préférer amuser ami faire voyage falloir profiter temps amuser hhh sortir ami regarder film,1
journée gérer travail dur journée voyage commando journée coucher maison cuisiner tranquillement cuisiner couper vidéo voyager,1
randonnée bivouac permettre défouler confronter rencontrer sympa faire super histoire raconter lecture philosophique roman aventure aimer apprendre expérience humain chant aimer utiliser corps instrument pouvoir produire joie beauté création artistique sou forme stimulation plaisir explorer partage expérience sens prise public collecter impression flotter air partager public,1
sortir ami former équipe équilibré équipe conduire cuisine organiser empathique pouvoir agir cas dispute planifier activité principal jour flexible détail rester fatiguer faire ami essayer chose voyager endroit découvrir monde vouloir briser stéréotype vouloir faire heure supplémentaire travail contraire moyen créer entreprise société idéalement objectif atteindre sentir valoriser recharger pouvoir vivre mieux travail,1
aimer vacance bord mer pays méditerranéen vacance goal journée plage sortie culturel genre visiter pays monument soirée chill lire regarder série film faire friperie sortir amie écouter musique,1
aimer liste varier activité endroit visiter vouloir pouvoir découvrir ville pays visiter sou angle préférence préférer lieu culturel musée exemple paysage voir prendre photo restaurant servir nourriture local idéal parc attraction préférer voyager ami voyage penser amuser accompagner finir vraiment préférence type endroit aimer visiter pouvoir amuser ville mer 1 agrandir culture cinématographique passionner cinéma étudier master milieu 2 astronomie adorer lier espace jour passer consommer contenu lier astronomie documentaire tweet post instagram feuilleter manuel 3 sortir ami remonter moral niveau énergie voir ami vrai source sérotonine,1
vacance club med intéresser aimer découvrir vie coutume habitude local préférer pays chaud proximité soleil mer lac nature montagne adorer apprendre chose constamment besoin cerveau stimuler émotion sensation savoir contact sens légèrement déprimé vide aimer littérature histoire géopolitique géographi poésie peinture activité artistique philosophie également vrai passion romantisme,1
aimer partir voyage vacance étranger rimbaud vie long voyage constituer rupture vie quoditienn aide chercher signification existence voyage montre possibilité mode vivre enseigne habitude alimentaire morale social vivre région distinguer étonnant refléchir pouvoir éviter prendre habitude règle approfondir compréhension vie continuellement voyage opportunité oublier routine ennuyeux activité philosophique fortiori profiter gastronomie territorial enchanter paysage agréable préférer voyager vacance lecture cultiver chercher paix intérieur sport rester forme garder corps santé jeu vidéo évacuer émotion négatif tuer boss maléfique,1
type vacance préférer visiter petit ville plage prendre photo essayer type plat pouvoir écouter musique tranquillement rencontrer hasard revoir idéal pouvoir reposer passe temps favori dormir écouter musique sortir prendre air faire shopping boire thé amie gossip,1
paysage plage visite culturel musée cuisine local art pratique visite exposition,1
aimer trouver lieu populaire alimentaire local aimer voir local habitude vacance étranger lieu connaître période boulot client,1
romantique libre bord mer amour ami aranya,1
préférer voyage vacance planifier préférer installer bord plage paresser pouvoir manger nourriture flâner musée art temps simplement partir planifier activité préférer danse visionnage documentaire danse donne sentiment libération confiant visionnage documentaire permettre mieux comprendre société prêter attention chose entourer explorer domaine aventure normalement,1
voyager vacance prévoir temps étudier choisir voyager occasion planifier emploi temps étude terminer devoir aimer sortir davantage vouloir rester maison étude important planifier temps laisse temps étude trouver chose faire vacance rester simplement maison ski skateboard moto sport permettre oublier souci pousser adrénaline rapide aimer sensation vitesse aimer faire artisanat puzzle lego aimer sentiment accomplissement terminer,1
vacance reposant bahahaha vrai aimer bronzer place exemple savoir besoin sortir monde minimum sociabilité timide penser ambivert besoin sortir rester enfermer journée sentir mal culpabiliser prendre sortir ami musée piqu nique découvrir ville village connaître plaire sincèrement penser passer temps favori dison besoin sorte passion vivre bahaha savoir expliquer besoin obsession musique série moment kpop vouloir ducoup passer temps préférer écouter musique sortir ami mem centre interêt,1
partir endroit connaître pouvoir france europe idéal train voiture polluer découvrir ville zone reculer endroit compte imprégner mode vie local découvrir culture gastronomie amusant ami sortir soir rue goûtant alcool local exemple travail manuel acquérir compétence pouvoir fabriquer chose chose gratifier exemple crochet tricot broderie couture chose calligraphie origami pouvoir rattacher catégorie activité pouvoir faire apprendre chose domaine mathématique alphabet concept philosophique renseigner sentir étendre culture sortir amis voir famille sentir entourer,0
aimer voyager étranger vacance idéal passer pays jamais visiter langue culture aimer visiter monument historique musée lieu culte aimer voir beal paysage promenade randonnée nature adorer découvrir plat traditionnel occasion manger france passe temps préférer photographie écriture musique appareil photo 2016 commencer photo paysage faire portrait fashion week photo voyage écrire travail métier rédiger article document ligne écrire titre personnel temps penser faire publier jour adorer créer univers personnage écoute musique jour aimer découvrir artiste aller concert danser aimer reprendre danse école situation financier permettre,0
rapport vacance général prévoir forcément faire chose spécifique voir fonction envie aimer rester vaquer occupation écouter musique jeu vidéo regarder série ect,0
partir vacance ami maison faire grand chose visiter balader reposer vraiment vivre ensemble faire fête préférer écouter musique lire jouer jeu vidéo ami sortir balader ami passer temps permettre couper monde passer temps ami,0
vacance chose faire simplement long moment repos besoin répondre besoin envie sortir amie papoter lire roman écouter musique moment aimer jouer jeu rapport maths roman pouvoir vivre vie observer musique relaxant maths envie faire bouger cerveau,0
type préférer vacance aller plage faire grand chose reposer mer ami famille discuter faire sport manger rigole boire eau coco bière semaine plage soleil soir balade ville part bar marché ville voir truc artisanal penser obligation quotidien penser moment reposer amusant aimer sensation peau brûler soleil devenir rose rouge minute voir casanier passe temps préférer lier adorer lire journée regarder série coréen faire truc sain manger jamais envie sortir part partir seine chance habiter paris voir bel ville promener presse copain découvrir histoire coin admirer architecture immeuble,0
rester lire jouer chéri colocataire chat chien adorer passer temps calme loin bruit ville montagne devoir choisir lieu adorer lire ecouter musique jouer jeu videos renseigner géopolitique adorer faire cuisine faire ménage chose détendre aider passer temps renseigner actuel monde permettre attache réel,0
préférer choisir aller endroit choisir type vacance parent enfant visiter ville regarder monument préférer tranquillité passer temps ami aimer jouer jeu vidéo environnement virtuel pouvoir progresser challenge activité social joue échec internet tournoi réel,0
importer dépayser sûr peser épaule profiter max aller exemple montagne mode vie faire tour 180 degré pile aimer pays bout monde culture complètement île couper monde abuser bref endroit pouvoir couper vie vraiment vivre rencontrer personnalité lâcher personnalité timide parfait aimer rapporter art donne impression sens aimer lire écrire texte simple poésie chanson aimer dessiner peindre aimer coudre évidemment accord art mode couture passion aimer danser chanter rapper rap permettre exprimer falloir produire chanson entier bref aimer limite,0
vacance long aimer passer jour voyager temps maison reposer divertir réveiller tard jour aimer visiter ville voir paysage manger plat local temps rester maison permettre détendre récupérer énergie regarder plateforme média social weibo petit livre rouge reconstituer puzzle jouer jeu vider pouvoir faire chose chambre reposer temps,0
aimer voyager celer france étranger aller ville préférer nature montagne océan vacance aimer reposer déconnecter complétement vouloir penser travail fac aimer écrire apprendre langue étranger aller café voir ami aller musée faire shopping fripe librairie,0
aimer vacance pouvoir reposer vivre aventure temps amie idéal vacance rêver faire étranger évidemment organiser aimer prêt détail savoir pertinemment plan aimer faire préalable liste lieu visiter connu local prévoir repas tester magasin faire réalité préparer éviter gros situation embarras retrouver logement nuit exemple angoisser énormément passe temps favori aimer faire petit chose aimer dessiner griffonner écrire vie roman écouter musique découvrir artiste regarder énormément série anime film histoire inspirer chose aimer marquer émotionnellement contenu regarder tendance matérialiste aimer collectionner collège collectionnai poupée collection vinyle manga axer collection photocard kpop récemment commencer collectionner petit block pouvoir retrouver daiso petit jouet construire lego compliqué,0
aimer visiter parc musée santé mental moyen apprendre écouter préférer jouer jeu vidéo tuer temps apprécier art histoire jeu exprimer,0
préférer vacance pouvoir reposer découvrir chose animal activité coin culture lieu lieu historique musée château reposer cool moment journée aimer apprendre faire aimer faire activité sportif aimer bouger reposer bouger ennuyer considérer perdre temps vacance préférer découverte aimer lire évader apprendre aimer faire sport repousser limite devenir meilleur hier aimer balader regarder nature autour changement saison incroyable aimer apprendre manière général faire recherche intéresser article livre vidéo podcasts écoute énormément musique adorer toucher art manière général pratiquer peinture musique maquillage écriture espérer aider courage,0
durer vacance aimer rester reposer recharger batterie généralement partir vacance bout journée epuise ressentir envie rentrer promettre aigrir ahah pareil précédemment reposer dormir lire chanter réviser réaliser activité chambre considere safe place généralement passe temps préférer puisqu faire calme pouvoir recharger batterie social mental,0
mois vacance aller probablement aller visiter site touristique ami famille cas préférer rester respirer tranquillement aller rester maison écouter musique jouer jeu vidéo faire promenade petit jardin activité groupe intéresser,0
aller vacance permettre faire pause petit routine anxiogène étudiant arriver fuir pouvoir importer lieu 1 week end 1 mois aimer voyager sentir dépayser découvrir nourriture local joli paysage offrir nature flâner rue voir lieu historique culturel visiter exposition aimer également mode obliger acheter tenue trouver visiter librairie acheter également souvenir besoin faire pause maison hôtel reposer lire livre exemple phase préférer activité intérieur lire broder regarder série peindre aimer écrire organiser vie carnet passer heure utiliser notion adorer contrôle diriger manière arriver adorer sortir faire fête cercle restreindre ami dépenser argent vêtement adorer offrir cadeau cuisiner manière exprimer amour exprimer amour organiser vie aimer aider tâche mal faire faire emploi temps to do list parent faire enfant,0
aller endroit lieu visuellement beal visiter grand ville essayer fondre vie local chercher souvenir permettre souvenir voyage vacance expérience vie vivre expérience tester chose cuisine activité faire offrir chose faire temps normal aller spa offrir chose onéreux créer distance quotidien environnement habituel pouvoir déconnecter promener paris faire magasin trouver concept store aller cinéma lire livre faire mêlé faire petsitting,0
dormez dessiner lire apprendre langue pratiquer flûte passer examen permettre conduire passer test vraiment raison regarder jeu horreur direct pleuvoir allumer bâton bois santal sentir heureux,0
penser préférer vacance mer supporter mieux chaleur froid mieux montrer faire sport réalité partir vacance pauvre divertir dormir aller grand parent aller passer temps lire regarder film culture pouvoir conversation domaine joue jeu vidéo passer temps pote habiter loin faire musique exprimer pratiquer art,0
3 4 jour visite découverte 1 2 3 semaine vraiment sortir endroit vivre vie tranquille faire manger dormir lire compagnie ami visiter apprendre chose lire lire activité préférer temps,0
pouvoir voyager découvrir lieu reposer promenade visiter lieu musée faire lire roman manga faire hip promener voir pote,0
voyage rester film regarder film oublier souffrance vie hahaha préférer lire chose celer permettre relâcher esprit favoriser connaissance,0
road trip idéal louer voiture pays relief islande italie nord iran pérou rouler droit arrêter percevoir élément paysage intéressant sport aimer compétition musique écriture aimer créer intention celer pouvoir servir inspirer,0
allonger plage ski hier thekking hiver activité nature neture permettre déstresser,0
aimer vacance chill aimer aller petit ville côté plage pouvoir aller visiter ville passer temps tranquille plage aimer plage profiter visiter ville trouver ville ambiance faire voyage vacance aimer passer temps faire passer maison pouvoir temps lire livre regarder manga pouvoir profiter temps faire chose généralement temps faire faire cocktail normalement aimer rester maison passer temps tranquillement pouvoir regarder série anime film intéresser penser celer aider récupérer énergie soulager aimer sortir ami faire sport exemple faire skateboard skatepark intéressant croiser aimer shopping ligne trouver celer convivial pouvoir parcourir marque intéresser vite,0
vacance préférer vraiment déconnecter loin forcément partir tranquille suffire préférence pouvoir ressourcer 100 pourcent moment pouvoir arrêter penser travail problème moment absorber émotion constamment entrain mettre barrière protéger vacance vraiment souffler ressourcement netfli chill thé couverture vacance prendre temps sensible monde extérieur individu jour épuiser ressentir intérieurement vacance passe temps préférer danse passion 5 an jamais arrêter tester style sensible moyen exprimer émotion art danse aimer énormément lire côté échappatoir énormément lire période difficile vie part sauver partir univers moyen oublier entourer difficulté moment apprécier énormément musique accompagner activité quotidien ménage faire manger lire vie musique trouver fade pouvoir moment aimer énormément jouer jeu vidéo genshin impact zelda graphisme univers super réaliser animal crossing moment détente jeu vidéo activité partager ami agréable collectif changer penser passe temps principal,0
préférer explorer maximum visiter pays ville musée endroit insolite préférer ville plage personnellement préférer activité jour rester allongé transat prendre soleil goûter nourriture local important vouloir imprégner maximum culture pays visiter rester cloîtrer isolé profiter temps trouver inutile pouvoir faire rester france aimer regarder film série dessiner faire punch needle aller réseau social malheureusement adorer youtube porter art essayer lire livre quelquefois compliquer rester concentrer aimer manga bd facile lire problème concentration adorer aller cinéma pouvoir,0
lire maison part temps retrouver ami quelquefois sortir manger plat lecture film préférer passer temps tranquillement,0
vacance synonyme aventure repos randonnée montagne van découvrir contrée aimer exploration découverte sensation vivre chose fort besoin sentir liberté enthousiasme procurer proximité nature découverte endroit magnifique moment sentir privilégier pouvoir vivre expérience lorsqu passer chose sortir commun exemple apercevoir animal sauvage phénomène inattendu spectre brocken arc ciel source émerveillement aimer hasard rencontre moment bonté partage sympathique tendance oui proposition découvrir univers déboucher activité physique prise risque également important stimulant bref aimer impression voir chose incroyable celer venir nourrir intérieur contraire faire vacance sentir frustrer gâcher temps passer côté chose besoin diversité vie aimer alterner entrer passe temps type aimer promener nature côté apaisant vivifiant celer apporter aimer passer temps copain discussion profond luire moment drôle instant sensuel celer nourrir faire sentir connecter luire important espace pouvoir intime sincère partager expérience émotion intériorité apprécier sortir groupe ami sentir intégrer sorte porter énergie groupe immersion mal complètement spontané moment aimer également faire théâtre improvisation permettre gagner confiance vivre imaginaire partager moment drôle groupe côté celer également besoin moment pouvoir mettre bulle occuper regard extérieur moment aimer cuisiner écrire jouer jeu ligne aimer animal chat pouvoir passer temps jouer faire câlin celer créer forme symbiose,0
aimer voyager ami amie ville pays pays préférer japon norvège pays général aimer lire livre psychologique science fiction roman enrichissant pouvoir apporter connaissance pensée monde fantaisie aimer promener ami amie parc préférer faire sport regarder tranquillement dessin animé,0
type vacance rêve aller pays étranger oublier stress apporter quotidien france coincer routine aimer faire activité apporter adrénaline vie ennuyant aimer lire roman philosophique dostoevsky pouvoir faire poterie pilates envie prendre aimer sortir ami faire pique niqu découvrir restaurant petit chose permettre rester connecter entourage important cultiver retrouver,0
préférer passer vacance découverte visiter pays apprendre culture population trouver bel voyager vacance détent aller intéresser vraiment celer constituer laps temps court totalité voyage passe temps préférer regarder série film lecture sortie entrer copine lorsqu promener pied part importer endroit importer également apprentissage langue domaine astronomie géopolitique histoire,0
type vacance préférer ville pouvoir sortir sentir envie faire reposer batterie social charger type vacance pouvoir paraître plan plan quotidien charger idée stress rêve chose reposer faire penser apprécier énormément découvrir regarder film humour décaler dumb dumber scénario extrêmement cliché donner grand joie vivre aimer jouer jeu vidéo pouvoir évader améliorer réflexe logique,0
préférer vacance pouvoir rester lire regarder série paix appeler amie heure vivre nuit aimer faire activité aller piscine trouver mentalement fatigant adorer faire escalade aimer dessiner dessiner faire photographie mal passer temps libre lire regarder série film anime,0
type vacance préférer campagne aimer explorer nature contact sens passer temps cuisine peinture regarder série aimer manuel toucher créativité correspondre personnel,0
vacance apprécier voyager échanger ami famille contempler paysage pittoresque moment partage véritablement bouffée air frais face complexité accablant société concerner passe temps aimer regarder série netflix octroyer moment détente lit journée charger cours intense chose pouvoir recharger batterie aimer pratiquer tennis régulièrement maintenir condition physique évacuer petit tension,0
type vacance préférer vacance balade découvrir lieu paysage aimer découverte penser aller vacance endroit soir chose aller passe temps favori lecture notemment lecture manga tir arc lecture aimer lire aimer manga tir arc sport plaire énormément,0
